_id,SOZIETATEA_EU/SOCIEDAD_EU,SOZIETATEA_CAS/SOCIEDAD_CAS,DENBORALDIA/TEMPORADA,JARDUERA_EU/ACTIVIDAD_EU,JARDUERA_CAS/ACTIVIDAD_CAS,IZENA EMATEKO EPEA (HASIERA)_EU/PLAZO INSCRIPCION (DESDE)_EU,IZENA EMATEKO EPEA (HASIERA)_CAS/PLAZO INSCRIPCION (DESDE)_CAS,IZENA EMATEKO EPEA (AMAIERA)_EU/PLAZO INSCRIPCION (HASTA)_EU,IZENA EMATEKO EPEA (AMAIERA)_CAS/PLAZO INSCRIPCION (HASTA)_CAS
1,BFA,DFB,2022/2023,7KO FUTBOLA R,FUTBOL 7 R,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 12ra,12 de SEPTIEMBRE
2,BFA,DFB,2022/2023,11KO FUTBOLA R,FUTBOL 11 R,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 12ra,12 de SEPTIEMBRE
3,BFA,DFB,2022/2023,7KO FUTBOLA A,FUTBOL 7 A,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 19ra,19 de SEPTIEMBRE
4,BFA,DFB,2022/2023,11KO FUTBOLA A,FUTBOL 11 A,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 19ra,19 de SEPTIEMBRE
5,BFA,DFB,2022/2023,SASKIBALOIA,BALONCESTO,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 19ra,19 de SEPTIEMBRE
6,BFA,DFB,2022/2023,3X3 SASKIBALOIA,BALONCESTO 3X3,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 19ra,19 de SEPTIEMBRE
7,BFA,DFB,2022/2023,SASKIBALOIA R,BALONCESTO R,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 19ra,19 de SEPTIEMBRE
8,BFA,DFB,2022/2023,7KO ESKUBALOIA,BALONMANO 7,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 19ra,19 de SEPTIEMBRE
9,BFA,DFB,2022/2023,5EKO ESKUBALOIA,BALONMANO 5,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 19ra,19 de SEPTIEMBRE
10,BFA,DFB,2022/2023,KIROL ANITZA,MULTIDEPORTE,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
11,BFA,DFB,2022/2023,ATLETISMOA/KROSA,ATLETISMO/CROSS,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
12,BFA,DFB,2022/2023,5X5/3X3 SASKIBALOIA ,BALONCESTO 5X5/3X3,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
13,BFA,DFB,2022/2023,7KO FUTBOLA D,FUTBOL 7 D,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
14,BFA,DFB,2022/2023,7KO FUTBOLA B,FUTBOL 7 B,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
15,BFA,DFB,2022/2023,11KO FUTBOLA B,FUTBOL 11 B,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
16,BFA,DFB,2022/2023,7KO FUTBOLA,FUTBOL 7,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
17,BFA,DFB,2022/2023,ARETO FUTBOLA,FUTBOL SALA,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
18,BFA,DFB,2022/2023,PATIN-HOCKEYA,HOCKEY PATINES,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
19,BFA,DFB,2022/2023,PATINAJE ARTISTIKOA,PATINAJE ARTISTICO,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
20,BFA,DFB,2022/2023,IGERIKETA,NATACIÃN,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
21,BFA,DFB,2022/2023,IGERIKETA SINKRONIZATUA,NATACIÃN SINCRONIZADA,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
22,BFA,DFB,2022/2023,ESKU PILOTA R,PELOTA MANO R,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
23,BFA,DFB,2022/2023,ESKU PILOTA A,PELOTA MANO A,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
24,BFA,DFB,2022/2023,ESKU PILOTA B,PELOTA MANO B,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
25,BFA,DFB,2022/2023,ESKU PILOTA D,PELOTA MANO D,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
26,BFA,DFB,2022/2023,ESKU PILOTA E,PELOTA MANO E,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
27,BFA,DFB,2022/2023,PALA,PALA,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
28,BFA,DFB,2022/2023,3KO BOLEIBOLA,VOLEIBOL 3,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
29,BFA,DFB,2022/2023,BOLEIBOLA,VOLEIBOL,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
30,BFA,DFB,2022/2023,WATERPOLOA,WATERPOLO,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
31,BFA,DFB,2022/2023,TRINKETA,TRINKETE,IRAILAREN 1etik,1 de SEPTIEMBRE,IRAILAREN 26ra,26 de SEPTIEMBRE
32,BFA,DFB,2022/2023,UDAL MAILAKO KIROL ANITZA,MULTIDEPORTE MUNICIPAL,IRAILAREN 1etik,1 de SEPTIEMBRE,URRIAREN 10era,10 de OCTUBRE
33,BFA,DFB,2022/2023,TENISA,TENIS,IRAILAREN 1etik,1 de SEPTIEMBRE,URRIAREN 10era,10 de OCTUBRE
34,BFA,DFB,2022/2023,NESKEN ESKU PILOTA,PELOTA MANO FEMENINA,IRAILAREN 1etik,1 de SEPTIEMBRE,URRIAREN 10era,10 de OCTUBRE
35,BFA,DFB,2022/2023,GURPIL-LERROKO PATIN HOCKEYA,HOCKEY PATINES-LÃNEA,IRAILAREN 1etik, 1 de SEPTIEMBRE,URRIAREN 17ra,17 de OCTUBRE
36,BFA,DFB,2022/2023,PATINAJE LASTERKETAK,PATINAJE CARRERAS,IRAILAREN 1etik, 1 de SEPTIEMBRE,URRIAREN 17ra,17 de OCTUBRE
37,BFA,DFB,2022/2023,ROLLER FREESTYLE,ROLLER FREESTYLE,IRAILAREN 1etik, 1 de SEPTIEMBRE,URRIAREN 17ra,17 de OCTUBRE
38,BFA,DFB,2022/2023,SALBAMENDUA ETA SOROSPENA,SALVAMENTO Y SOCORRISMO,IRAILAREN 1etik, 1 de SEPTIEMBRE,URRIAREN 17ra,17 de OCTUBRE
39,BFA,DFB,2022/2023,AEROBICA,AEROBIC,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
40,BFA,DFB,2022/2023,BEISBOLA,BEISBOL,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
41,BFA,DFB,2022/2023,ZESTA-PUNTA,CESTA PUNTA,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
42,BFA,DFB,2022/2023,KIROL ESKALADA,ESCALADA DEPORTIVA,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
43,BFA,DFB,2022/2023,FRONTENISA,FRONTENIS,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
44,BFA,DFB,2022/2023,GIMNASIA ARTISTIKOA,GIMNASIA ARTISTICA,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
45,BFA,DFB,2022/2023,GIMNASIA ERRITMIKOA,GIMNASIA RITMICA,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
46,BFA,DFB,2022/2023,GIMNASIA TRANPOLINA,GIMNASIA TRAMPOLIN,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
47,BFA,DFB,2022/2023,HERRI KIROLAK,HERRI KIROLAK,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
48,BFA,DFB,2022/2023,KARATEA,KARATE,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
49,BFA,DFB,2022/2023,BORROKA,LUCHA,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
50,BFA,DFB,2022/2023,ORIENTAZIOA,ORIENTACION,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
51,BFA,DFB,2022/2023,ESKU PILOTA H,PELOTA MANO H,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
52,BFA,DFB,2022/2023,PIRAGUISMOA,PIRAGÃISMO,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
53,BFA,DFB,2022/2023,SKATEBOARD,SKATEBOARD,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
54,BFA,DFB,2022/2023,TAEKWONDOA,TAEKWONDO,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
55,BFA,DFB,2022/2023,MAHAI-TENISA,TENIS DE MESA,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
56,BFA,DFB,2022/2023,TXIKIBOX,TXIKIBOX,IRAILAREN 1etik,1 de SEPTIEMBRE,ABENDUAREN 12ra,12 de DICIEMBRE
57,BFA,DFB,2022/2023,XAKEA,AJEDREZ,IRAILAREN 1etik,1 de SEPTIEMBRE,URTARRILAREN 9ra,9 de ENERO
58,BFA,DFB,2022/2023,ESGRIMA,ESGRIMA,IRAILAREN 1etik,1 de SEPTIEMBRE,URTARRILAREN 9ra,9 de ENERO
59,BFA,DFB,2022/2023,PADELA,PADEL,IRAILAREN 1etik,1 de SEPTIEMBRE,URTARRILAREN 9ra,9 de ENERO
60,BFA,DFB,2022/2023,JUDOA,JUDO,IRAILAREN 1etik,1 de SEPTIEMBRE,URTARRILAREN 9ra,9 de ENERO
61,BFA,DFB,2022/2023,ARRAUNA,REMO,IRAILAREN 1etik,1 de SEPTIEMBRE,URTARRILAREN 9ra,9 de ENERO
62,BFA,DFB,2022/2023,ERRUGBIA,RUGBY,IRAILAREN 1etik,1 de SEPTIEMBRE,URTARRILAREN 9ra,9 de ENERO
63,BFA,DFB,2022/2023,HOCKEYA,HOCKEY,IRAILAREN 1etik,1 de SEPTIEMBRE,URTARRILAREN 9ra,9 de ENERO
64,BFA,DFB,2022/2023,TRIATLOIA,TRIATLON,IRAILAREN 1etik,1 de SEPTIEMBRE,MARTXOAREN 6ra,6 de MARZO
65,BFA,DFB,2022/2023,ARKU-TIROA,TIRO CON ARCO,IRAILAREN 1etik,1 de SEPTIEMBRE,MAIATZAREN 2ra,2 de MAYO
66,BFA,DFB,2022/2023,HONDARTZA-ESKUBALOIA,BALONMANO-PLAYA,IRAILAREN 1etik,1 de SEPTIEMBRE,MAIATZAREN 2ra,2 de MAYO
67,BFA,DFB,2022/2023,HONDARTZA-BOLEIBOA,VOLEY-PLAYA,IRAILAREN 1etik,1 de SEPTIEMBRE,MAIATZAREN 2ra,2 de MAYO
68,BFA,DFB,2022/2023,BELA,VELA,IRAILAREN 1etik,1 de SEPTIEMBRE,MAIATZAREN 2ra,2 de MAYO
69,BFA,DFB,2022/2023,TXIRRINDULARITZA,CICLISMO,IRAILAREN 1etik,1 de SEPTIEMBRE,EKAINAREN 1era,1 de JUNIO
70,BFA,DFB,2022/2023,SURFA,SURF,IRAILAREN 1etik,1 de SEPTIEMBRE,EKAINAREN 1era,1 de JUNIO
