"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Egypt","Average monthly earnings of employees by sex and economic activity","LFS - Labour Force Sample Survey","Sex: Male","Economic activity (Aggregate): Total","Currency: Local currency","2022",3306.61,,,"Currency: EGY - Egyptian pound (EGP)","Repository: ILO-STATISTICS - Micro data processing"
"Egypt","Average monthly earnings of employees by sex and economic activity","LFS - Labour Force Sample Survey","Sex: Male","Economic activity (Aggregate): Total","Currency: 2017 PPP $","2022",737,,,"Currency: EGY - Egyptian pound (EGP)","Repository: ILO-STATISTICS - Micro data processing"
"Egypt","Average monthly earnings of employees by sex and economic activity","LFS - Labour Force Sample Survey","Sex: Male","Economic activity (Aggregate): Total","Currency: U.S. dollars","2022",172.58,,,"Currency: EGY - Egyptian pound (EGP)","Repository: ILO-STATISTICS - Micro data processing"
"Egypt","Average monthly earnings of employees by sex and economic activity","LFS - Labour Force Sample Survey","Sex: Male","Economic activity (Aggregate): Agriculture","Currency: Local currency","2022",3232.62,,,"Currency: EGY - Egyptian pound (EGP)","Repository: ILO-STATISTICS - Micro data processing"
"Egypt","Average monthly earnings of employees by sex and economic activity","LFS - Labour Force Sample Survey","Sex: Male","Economic activity (Aggregate): Agriculture","Currency: 2017 PPP $","2022",720.51,,,"Currency: EGY - Egyptian pound (EGP)","Repository: ILO-STATISTICS - Micro data processing"
"Egypt","Average monthly earnings of employees by sex and economic activity","LFS - Labour Force Sample Survey","Sex: Male","Economic activity (Aggregate): Agriculture","Currency: U.S. dollars","2022",168.71,,,"Currency: EGY - Egyptian pound (EGP)","Repository: ILO-STATISTICS - Micro data processing"
"Egypt","Average monthly earnings of employees by sex and economic activity","LFS - Labour Force Sample Survey","Sex: Male","Economic activity (Aggregate): Manufacturing","Currency: Local currency","2022",3157.79,,,"Currency: EGY - Egyptian pound (EGP)","Repository: ILO-STATISTICS - Micro data processing"
"Egypt","Average monthly earnings of employees by sex and economic activity","LFS - Labour Force Sample Survey","Sex: Male","Economic activity (Aggregate): Manufacturing","Currency: 2017 PPP $","2022",703.83,,,"Currency: EGY - Egyptian pound (EGP)","Repository: ILO-STATISTICS - Micro data processing"
"Egypt","Average monthly earnings of employees by sex and economic activity","LFS - Labour Force Sample Survey","Sex: Male","Economic activity (Aggregate): Manufacturing","Currency: U.S. dollars","2022",164.81,,,"Currency: EGY - Egyptian pound (EGP)","Repository: ILO-STATISTICS - Micro data processing"
"Egypt","Average monthly earnings of employees by sex and economic activity","LFS - Labour Force Sample Survey","Sex: Male","Economic activity (Aggregate): Construction","Currency: Local currency","2022",3951.23,,,"Currency: EGY - Egyptian pound (EGP)","Repository: ILO-STATISTICS - Micro data processing"
"Egypt","Average monthly earnings of employees by sex and economic activity","LFS - Labour Force Sample Survey","Sex: Male","Economic activity (Aggregate): Construction","Currency: 2017 PPP $","2022",880.67,,,"Currency: EGY - Egyptian pound (EGP)","Repository: ILO-STATISTICS - Micro data processing"
